price,vin,stock,model,body,exterior,interior,engine,location
" $30,877",2T3RWRFV2LW078910,LW078910,4444,Sport Utility,White,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $35,411",3TYSZ5AN9LT000025,LT000025,7559,TRD Sport Access Cab 6' Bed V6 MT,White,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $35,602",JTMEWRFV9LJ034707,LJ034707,4456,Sport Utility,Magnetic Gray Metallic,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $35,396",3TMCZ5AN2LM339015,LM339015,7540,SR5 Double Cab 5' Bed V6 AT,White,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $35,467",JTMA1RFV5LJ034216,LJ034216,4478,Sport Utility,Silver,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $35,483",JTMEWRFV8LJ042426,LJ042426,4456,Sport Utility,Magnetic Gray Metallic,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $32,943",JTMA1RFV6LJ034998,LJ034998,4478,Sport Utility,Black,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $35,336",JTMEWRFV3LJ036498,L149EC58,4456,Sport Utility,Silver Sky Metallic,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $35,026",2T3J1RFV0LC063593,LC063593,4448,Sport Utility,White,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $33,096",3TYSZ5AN3LT001297,LT001297,7552,SR Access Cab 6' Bed V6 AT,Gray,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $34,509",4T1F31AK8LU532824,LU532824,2560,Sedan,Silver,Ash,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $35,396",3TMCZ5AN2LM339807,LM339807,7540,SR5 Double Cab 5' Bed V6 AT,Gray,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $34,282",5TDKZ3DC5LS041519,LS041519,5338,Mini-Van,Green,Ash,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $33,073",JTMRWRFV2LD056385,LD056385,4444,Sport Utility,Blue,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $32,950",2T3RWRFV7LW086081,LW086081,4444,Sport Utility,Red,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $33,073",JTMRWRFV8LD055001,LD055001,4444,Sport Utility,Blue,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $35,901",3TMDZ5BN1LM092170,LM092170,7570,SR5 Double Cab 6' Bed V6 AT,Gray,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $36,537",3TMCZ5AN3LM305147,LM305147,7542,TRD Sport Double Cab 5' Bed V6 AT,Silver,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $36,969",3TMCZ5AN5LM312200,LM312200,7544,TRD Off Road Double Cab 5' Bed V6 AT,Black,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $36,537",3TMCZ5AN2LM303311,LM303311,7542,TRD Sport Double Cab 5' Bed V6 AT,Silver,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $36,968",3TMCZ5AN6LM298906,LM298906,7544,TRD Off Road Double Cab 5' Bed V6 AT,Tan,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $36,918",5TDJZ3DC0LS243969,LS243969,5366,Mini-Van,Blue,Ash,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $36,969",3TMCZ5AN5LM302637,LM302637,7544,TRD Off Road Double Cab 5' Bed V6 AT,Tan,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $36,497",4T1EZ1FB9LU042668,LU042668,3547,Sedan,Black,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $35,972",3TMCZ5AN6LM339793,LM339793,7540,SR5 Double Cab 5' Bed V6 AT,Gray,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $36,356",5TFCZ5AN5LX219252,LX219252,7545,TRD Off Road Double Cab 5' Bed V6 MT,White,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $36,345",4T1KZ1AK5LU037915,LU037915,2550,Sedan,Wind Chill Pearl,Black,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $36,332",3TMCZ5AN2LM308878,LM308878,7542,TRD Sport Double Cab 5' Bed V6 AT,White,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $35,972",3TMCZ5ANXLM342180,LM342180,7540,SR5 Double Cab 5' Bed V6 AT,White,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $36,324",3TMCZ5AN0LM291031,LM291031,7542,TRD Sport Double Cab 5' Bed V6 AT,Tan,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $36,226",2T3N1RFV6LW086781,LW086781,4452,Sport Utility,Red,Black,Regular Unleaded I-4 2.5 L/152,Baierl Toyota
" $37,921",2T3EWRFV2LW076976,LW076976,4456,Sport Utility,Silver Sky Metallic,Black,Gas/Electric I-4 2.5 L/152,Baierl Toyota
" $37,820",3TMCZ5AN4LM338948,LM338948,7544,TRD Off Road Double Cab 5' Bed V6 AT,Blue,Cement,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
" $37,205",3TMCZ5AN5LM298878,LM298878,7544,TRD Off Road Double Cab 5' Bed V6 AT,Black,Black/Orange,Regular Unleaded V-6 3.5 L/211,Baierl Toyota
